"",,,,,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15
S.No.,Classification,1950-51,1990-91,2000-01,,,,,,
"",,,,,(P),(P),(P),(P),(P),(P)
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
I.,Geographical Area,328.73,328.73,328.73,328.73,328.73,328.73,328.73,328.73,328.73
II.,Reporting Area for Land Utilisation Statistics,284.32,304.86,305.19,307.41,307.48,307.39,307.49,307.80,307.82
"",1(1.  Ftoo r5e)st,40.48,67.81,69.84,71.56,71.59,71.60,71.57,71.83,71.79
"",2. Not Available for Cultivation (A+B),47.52,40.48,41.23,43.33,43.58,43.53,43.58,43.86,43.88
"",(A) Area Under Non-agricultural Uses,9.36,21.09,23.75,26.16,26.40,26.31,26.50,26.91,26.88
"",(B) Barren & Un-culturable Land,38.16,19.39,17.48,17.18,17.18,17.22,17.07,16.95,17.00
"",3. Other Uncultivated land excluding Fallow,49.45,30.22,27.74,26.50,26.15,26.11,26.08,25.83,25.83
"",(A) Permanent Pasture & other Grazing Land,6.68,11.40,10.66,10.34,10.30,10.31,10.26,10.26,10.26
"",(B) Land under Miscellaneous Tree Crops &,19.83,3.82,3.44,3.21,3.20,3.16,3.18,3.19,3.10
"",(C) Culturable Waste Land,22.94,15.00,13.63,12.95,12.65,12.64,12.64,12.39,12.47
"",4. Fallow Lands (A+B),28.12,23.37,25.04,26.85,24.60,25.18,26.32,24.85,26.18
"",(A) Fallow Lands other than Current Fallows,17.45,9.66,10.27,10.84,10.32,10.67,11.04,10.69,11.09
"",(B) Current Fallows,10.68,13.70,14.78,16.01,14.28,14.51,15.29,14.15,15.09
"",5. Net Area Sown (6-7),118.75,143.00,141.34,139.17,141.56,140.98,139.94,141.43,140.13
"",6. Total Cropped Area (Gross Cropped Area),131.89,185.74,185.34,189.19,197.68,195.80,194.25,200.95,198.36
"",7. Area Sown more than once,13.15,42.74,44.00,50.02,56.12,54.82,54.31,59.52,58.23
"",8. Cropping Intensity*,111.07,129.89,131.13,135.94,139.64,138.88,138.81,142.09,141.55
"",Net Irrigated Area,20.85,48.02,55.20,61.94,63.67,65.71,66.29,68.12,68.38
"",Gross Irrigated Area,22.56,63.20,76.19,85.09,88.94,91.79,92.25,95.77,96.46
