Carbon dioxide emissions data for subnational administrative areas in India,,,,,,,,
,,,,,,,,
Administrative area,Total,Tree cover,Tree cover,Carbon,Carbon,Avg carbon,Avg carbon,Avg carbon
,area (ha),Extent,Extent,biomass,emissions,emissions/year,emissions/year,emissions/year
,,in 2000 (ha),in 2010 (ha),(Mt),2001-18 (Mt),2001-18 (Mt),2001-10 (Mt),2011-18 (Mt)
Andaman and Nicobar,767307,685199,680192,345164869,8339320,463296,695636,172870
Andhra Pradesh,16023918,1107762,1000583,359350987,10670758,592820,524028,678810
Arunachal Pradesh,8211090,6314914,6119808,3381921852,82675708,4593095,3751217,5645442
Assam,7866387,2755945,2570919,990306208,83374867,4631937,3735326,5752701
Bihar,9444953,154272,206040,58764330,434714,24151,34126,11682
Chandigarh,11901,705,940,177328,3450,192,328,21
Chhattisgarh,13564798,2668056,2288223,958725757,15130887,840605,749960,953911
Dadra and Nagar Haveli,49455,459,260,166880,113,6,11,0
Daman and Diu,8475,18,3,5696,26,1,0,3
Goa,370616,146805,117102,57389801,262199,14567,11866,17943
Gujarat,18606383,17968,7031,6362963,36968,2054,2462,1544
Haryana,4412493,42832,40183,16471375,122039,6780,10019,2731
Himachal Pradesh,5568245,1368873,1149441,595442128,1918512,106584,143566,60356
Jammu and Kashmir,10577361,1074709,873826,425930810,1581199,87844,128713,36758
Jharkhand,8019205,557553,317420,188537058,1955303,108628,143834,64620
Karnataka,19167411,2279607,1884633,943528589,15516510,862028,794143,946886
Kerala,3767384,2592288,2270278,1065001451,23484911,1304717,701125,2059207
Lakshadweep,3752,0,0,0,0,0,0,0
Madhya Pradesh,30852723,1080025,868274,388326632,2990690,166149,184295,143468
Maharashtra,30776117,1075325,880765,369134652,5589938,310552,315623,304213
Manipur,2237323,1706556,1711044,792250347,69025745,3834764,2126795,5969725
Meghalaya,2256501,1686819,1595555,669728473,65577152,3643175,2225366,5415437
Mizoram,2129774,1935984,1814071,836512776,77630597,4312811,1647179,7644851
NCT of Delhi,150579,263,122,60898,2859,159,247,49
Nagaland,1664127,1313429,1319972,627977019,85128688,4729372,3283173,6537120
Odisha,15590707,2685226,1920233,986908198,34790872,1932826,1630578,2310637
Puducherry,55441,6980,5616,2303050,43004,2389,1990,2888
Punjab,5034447,74968,69582,22481417,345184,19177,27721,8497
Rajasthan,34228216,12049,4122,4267569,83460,4637,7015,1664
Sikkim,709618,250779,254097,120225845,519109,28839,27020,31113
Tamil Nadu,13056364,1233914,1001372,413407532,7889275,438293,436443,440606
Telangana,11484226,664531,504043,191895781,9883250,549069,549991,547918
Tripura,1057122,671407,571578,240591623,29747029,1652613,1382741,1989952
Uttar Pradesh,24124320,360687,370632,158620911,1451238,80624,96876,60310
Uttarakhand,5389584,1951927,1733960,930917500,5705732,316985,317260,316641
West Bengal,8558866,408367,332263,142130549,3782644,210147,258839,149282
