MINING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 15.1 - NUMBER OF REPORTING MINES IN INDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Minerals,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE,All Minerals Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009-10,2010-11,2011-12,2012-13,2013-14*,2014-15,2015-16(P),,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Andhra Pradesh,456,456,621,774,637,139,135,,,,,,,,,,,,,,,,,,,,,
 Arunachal Pradesh,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
 Assam,11,11,10,9,6,6,7,,,,,,,,,,,,,,,,,,,,,
 Bihar,6,10,6,6,5,1,1,,,,,,,,,,,,,,,,,,,,,
 Chhattisgarh,152,167,192,196,173,161,162,,,,,,,,,,,,,,,,,,,,,
 Goa,75,79,74,75,86,82,77,,,,,,,,,,,,,,,,,,,,,
 Gujarat ,446,429,441,487,470,211,225,,,,,,,,,,,,,,,,,,,,,
 Haryana,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
 Himachal Pradesh,26,24,25,20,20,17,17,,,,,,,,,,,,,,,,,,,,,
 Jammu & Kashmir,11,10,10,8,7,6,10,,,,,,,,,,,,,,,,,,,,,
Jharkhand,299,297,299,293,231,219,211,,,,,,,,,,,,,,,,,,,,,
 Karnataka,233,251,207,219,175,160,146,,,,,,,,,,,,,,,,,,,,,
 Kerala,30,30,43,55,69,9,8,,,,,,,,,,,,,,,,,,,,,
 Madhya Pradesh,287,317,417,421,350,289,274,,,,,,,,,,,,,,,,,,,,,
 Maharashtra,158,161,158,151,165,138,134,,,,,,,,,,,,,,,,,,,,,
 Manipur,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
 Meghalaya,9,10,13,14,14,17,16,,,,,,,,,,,,,,,,,,,,,
 Odisha,221,192,183,192,179,165,157,,,,,,,,,,,,,,,,,,,,,
 Rajasthan,289,308,418,508,552,65,76,,,,,,,,,,,,,,,,,,,,,
 Sikkim,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
 Tamil Nadu,175,192,305,368,366,234,252,,,,,,,,,,,,,,,,,,,,,
Telangana,,,,,0,88,83,,,,,,,,,,,,,,,,,,,,,
 Uttar Pradesh,25,24,25,22,19,6,6,,,,,,,,,,,,,,,,,,,,,
 Uttarakhand,34,40,37,34,15,3,3,,,,,,,,,,,,,,,,,,,,,
 West Bengal,112,109,124,127,121,100,100,,,,,,,,,,,,,,,,,,,,,
Total No of Mines,3055,3118,3609,3981,3662,2117,2101,,,,,,,,,,,,,,,,,,,,,
